user,item,cnt,daytime,weekday,isweekend,homework,weather,country,city
0,0,0.0,2,10,14,17,25,97,100
1,1,0.8450980400142568,0,9,14,17,19,90,100
2,2,0.7781512503836436,1,8,15,17,19,90,151
3,3,0.0,6,11,15,17,26,97,282
4,4,2.6314437690131722,3,11,15,16,25,92,126
5,5,0.7781512503836436,6,9,14,16,25,90,151
6,6,0.0,0,13,15,18,19,90,151
7,7,1.568201724066995,6,12,15,17,19,53,192
4,8,0.47712125471966244,0,11,15,18,26,92,126
8,9,1.414973347970818,0,11,15,17,19,36,100
9,10,0.0,4,8,15,17,26,99,100
10,11,1.2041199826559248,6,12,15,17,25,90,153
11,12,0.9030899869919435,5,11,15,17,26,99,100
12,13,1.146128035678238,3,13,15,16,25,97,100
13,11,0.0,0,10,14,16,19,96,100
14,11,2.1335389083702174,0,10,14,17,25,49,100
15,14,0.0,1,11,15,17,26,78,233
16,15,2.8027737252919755,2,9,14,17,19,36,122
17,10,1.4771212547196624,1,7,14,17,25,36,125
18,16,0.0,4,7,15,17,26,97,265
19,17,0.3010299956639812,4,9,14,17,19,96,100
20,18,2.4082399653118496,1,10,14,17,25,65,100
21,19,0.0,2,8,15,18,19,90,151
22,20,1.041392685158225,2,12,15,16,19,96,173
23,5,1.1139433523068367,0,9,14,16,19,96,100
24,21,1.4313637641589874,1,8,15,17,21,97,100
25,21,2.2479732663618064,3,8,15,17,25,80,100
26,22,1.4913616938342726,0,7,15,18,25,58,100
27,23,0.0,1,8,15,16,25,32,100
12,24,1.2041199826559248,5,11,15,16,25,97,100
28,17,1.041392685158225,6,8,15,18,19,88,100
29,25,2.296665190261531,2,13,15,17,25,76,100
30,26,1.255272505103306,0,10,14,17,25,97,100
31,5,0.6020599913279624,2,12,15,18,19,90,151
32,27,0.9542425094393249,4,12,15,18,25,90,153
33,11,1.0,3,7,15,17,25,44,146
16,28,1.1760912590556813,3,9,14,16,22,36,122
34,29,0.8450980400142568,0,10,14,17,26,96,100
35,30,0.9542425094393249,0,12,15,17,19,97,100
36,31,0.6020599913279624,6,11,15,17,26,99,100
37,32,1.5314789170422551,1,9,14,17,25,36,119
38,33,1.2041199826559248,1,10,14,18,25,97,259
39,26,1.3617278360175928,2,11,15,18,22,97,284
40,34,0.0,1,9,14,16,19,90,154
41,35,0.0,1,10,14,17,19,69,100
42,5,1.1139433523068367,2,9,14,17,25,65,202
43,25,2.9143431571194407,1,10,14,17,25,97,100
44,5,1.9912260756924949,2,11,15,18,25,90,100
45,36,2.374748346010104,1,11,15,17,19,90,156
46,37,1.0,0,11,15,17,19,73,100
47,25,3.2352758766870524,2,11,15,17,19,78,233
48,38,2.146128035678238,3,9,14,16,25,90,151
47,21,2.0211892990699383,0,9,14,17,21,78,233
49,39,0.8450980400142568,4,9,14,17,19,30,100
50,16,1.0791812460476249,2,7,15,17,21,78,233
51,31,2.03342375548695,4,12,15,17,19,90,151
52,40,0.8450980400142568,2,10,14,16,19,96,163
53,41,0.0,0,13,15,17,19,90,151
54,42,1.8260748027008264,3,12,15,17,25,48,135
55,21,1.7558748556724915,3,9,14,17,19,97,100
39,26,1.6812412373755872,0,11,15,17,25,97,284
48,38,0.0,0,12,15,17,26,90,100
