item,category,downloads,language,price,rating
0,21,32,56,76,79
1,18,32,56,76,81
2,27,32,56,76,81
3,24,43,56,76,79
4,23,34,56,76,79
5,8,39,56,76,79
6,31,47,74,78,82
7,14,45,56,76,79
8,31,47,74,78,82
9,29,39,56,76,79
10,10,37,56,76,81
11,24,39,56,76,81
12,24,41,56,76,81
13,14,34,56,76,81
14,24,36,56,76,81
15,18,34,56,77,79
16,24,39,56,76,80
17,27,39,56,76,79
18,0,32,56,76,79
19,27,39,56,76,80
20,19,32,56,76,79
21,8,39,56,76,79
22,18,42,59,76,80
23,0,36,56,76,79
24,19,37,56,76,79
25,8,36,56,76,81
26,18,32,56,76,79
27,3,41,56,76,80
28,8,36,56,76,79
29,6,32,56,76,79
30,0,43,56,76,79
31,21,43,56,76,79
32,31,47,74,78,82
33,19,32,56,76,79
34,27,36,56,76,79
35,31,47,74,78,82
36,23,37,56,76,79
37,4,37,56,76,81
38,31,47,74,78,82
39,8,36,56,76,81
40,6,36,56,76,79
41,8,36,56,76,79
42,1,41,56,76,81
43,10,36,56,76,81
44,8,36,56,76,79
45,24,41,56,76,80
46,31,47,74,78,82
47,3,32,56,76,79
48,10,36,56,76,79
49,29,36,56,76,79
50,10,45,56,76,81
51,6,32,56,76,79
52,28,34,56,76,79
53,19,45,56,76,79
54,31,47,74,78,82
55,3,32,56,76,79
56,31,47,74,78,82
57,27,41,56,76,79
58,19,43,56,76,79
59,8,44,56,76,81
60,5,36,56,76,79
61,10,34,56,76,81
62,31,47,74,78,82
63,27,42,56,76,79
64,28,37,56,76,79
65,15,39,56,76,81
66,17,43,56,76,79
67,14,34,56,76,79
68,18,42,56,76,80
69,27,43,56,76,79
70,18,32,56,76,81
71,8,36,56,76,79
72,27,37,56,77,79
73,0,39,56,76,79
74,8,45,56,76,80
75,1,37,56,76,79
76,14,45,56,76,79
77,21,32,56,77,79
78,17,36,56,76,81
79,27,36,56,76,79
80,31,47,74,78,82
81,28,45,56,76,79
82,10,32,56,76,80
83,8,41,56,76,81
84,3,34,56,76,79
85,17,37,56,76,81
86,8,42,56,76,81
87,21,32,56,76,79
88,21,36,56,76,81
89,17,36,56,76,81
90,31,47,74,78,82
91,31,47,74,78,82
92,3,36,56,76,79
93,24,37,56,76,79
94,1,41,56,76,79
95,20,34,56,77,79
96,8,37,56,76,79
97,0,36,56,76,79
98,31,47,74,78,82
99,18,37,56,76,79
100,3,36,56,76,81
101,28,34,56,76,79
102,31,47,74,78,82
103,8,43,56,76,79
104,20,32,56,77,79
105,19,45,56,77,79
106,24,43,56,76,81
107,18,34,56,76,80
108,0,36,56,76,79
109,8,45,56,76,79
110,30,36,56,76,79
111,24,41,56,76,81
112,29,42,56,76,81
113,21,32,56,76,79
114,21,41,56,76,81
115,0,37,56,76,81
116,27,45,56,77,79
117,17,42,56,76,81
118,17,32,56,76,79
119,21,37,56,76,79
120,0,32,56,76,79
121,19,45,56,77,81
122,19,37,56,76,81
123,3,37,56,77,79
124,8,37,56,76,81
125,27,37,56,76,81
126,21,37,56,76,81
127,19,40,56,77,81
128,30,36,56,76,79
129,3,36,56,76,79
130,31,47,74,78,82
131,15,42,56,76,81
132,24,32,56,76,81
133,27,45,56,76,79
134,0,37,56,76,79
135,0,41,56,76,80
136,8,36,56,76,79
137,8,36,56,76,79
138,29,37,56,76,81
139,29,32,56,76,80
140,21,34,56,76,79
141,27,41,56,76,79
142,21,37,56,76,81
143,18,41,56,76,79
144,18,34,56,76,80
145,14,41,56,76,79
146,29,41,56,76,79
147,31,47,74,78,82
148,24,41,56,76,79
149,6,36,56,76,79
150,22,34,56,77,79
151,6,45,56,76,81
152,6,45,56,76,81
153,8,34,56,77,79
154,23,36,56,76,79
155,18,45,56,76,79
156,31,47,74,78,82
157,8,37,56,76,79
158,27,32,56,76,80
159,27,37,56,76,79
160,8,43,56,76,79
161,8,45,56,76,79
162,0,36,56,76,79
163,8,32,56,76,79
164,15,37,56,76,80
165,31,47,74,78,82
166,21,36,56,76,81
167,21,36,56,76,79
168,24,32,56,76,81
169,0,32,56,76,81
170,19,32,56,77,79
171,27,32,56,76,81
172,19,37,56,76,79
173,31,47,74,78,82
174,4,37,56,76,79
175,19,37,56,77,79
176,12,45,56,76,79
177,8,41,56,76,79
178,19,32,56,76,79
179,18,45,56,76,81
180,15,45,56,76,81
181,0,45,56,76,79
182,10,45,56,76,81
183,0,37,56,77,80
184,18,32,56,76,81
185,18,42,56,76,79
186,24,42,75,76,81
187,8,34,56,77,81
188,31,47,74,78,82
189,17,37,56,76,79
190,20,32,56,77,79
191,21,32,56,76,79
192,31,47,74,78,82
193,19,41,56,76,79
194,27,37,56,76,79
195,18,33,56,76,79
196,21,34,56,76,81
197,27,37,56,76,79
198,8,39,56,76,81
199,27,34,56,76,79
200,21,32,56,76,79
201,18,37,56,76,80
202,8,32,56,76,80
203,18,32,56,76,81
204,0,32,56,76,79
205,24,41,56,76,79
206,29,35,56,76,80
207,18,41,56,76,79
208,31,47,74,78,82
209,13,37,56,76,81
210,19,37,56,77,79
211,10,32,56,76,80
212,18,45,59,76,80
213,1,32,56,76,79
214,29,45,56,76,80
215,0,32,56,76,79
216,27,37,56,76,79
217,31,47,74,78,82
218,27,45,56,76,79
219,18,32,56,76,79
220,23,32,56,76,79
221,17,36,56,76,79
222,20,37,56,76,80
223,31,47,74,78,82
224,31,47,74,78,82
225,27,36,56,76,79
226,31,47,74,78,82
227,18,42,56,76,79
228,24,37,56,76,81
229,27,37,56,76,79
230,21,36,56,76,79
231,24,32,56,76,81
232,27,36,56,76,79
233,3,37,56,76,81
234,3,34,56,76,81
235,27,43,56,76,79
236,21,37,56,76,79
237,24,36,56,76,79
238,4,40,56,76,79
239,8,32,56,76,81
240,8,36,56,76,79
241,30,37,56,77,79
242,24,34,56,76,79
243,18,34,56,76,79
244,8,36,56,76,81
245,31,47,74,78,82
246,6,34,56,76,79
247,24,37,56,76,81
248,3,37,56,76,79
249,15,37,56,76,79
250,6,32,56,76,80
251,31,47,74,78,82
252,9,37,56,76,79
253,1,43,56,76,80
254,18,34,56,77,79
255,27,45,56,76,79
256,8,45,56,76,79
257,27,33,56,76,81
258,24,32,56,76,79
259,23,32,56,76,79
260,23,36,56,76,81
261,21,45,56,76,81
262,27,45,56,76,79
263,20,34,56,76,79
264,29,32,56,76,80
265,21,45,56,76,79
266,17,32,57,76,79
267,19,34,56,76,81
268,5,32,56,76,81
269,18,37,56,76,81
