user,item,cnt,daytime,weekday,isweekend,homework,weather,country,city
12,2470,-1.5,4,10,14,16,19,97,100
173,25,-0.9936324173011195,6,8,15,17,25,97,257
462,3272,-0.9160853245861855,0,10,14,17,22,54,100
403,33,-0.9936324173011195,5,7,15,18,19,47,161
126,271,-1.3312108057670398,3,10,14,17,21,78,234
291,155,-0.2949208800437666,5,13,15,17,19,97,295
411,111,-1.5,1,11,15,17,26,99,100
86,21,-1.5,4,7,15,17,25,97,282
12,58,-0.8948970681478982,3,9,14,16,26,97,100
34,29,-0.964950913227637,2,13,15,17,19,96,100
128,751,-1.5,0,11,15,17,21,65,202
132,99,-1.5,2,10,14,16,22,97,100
173,65,-0.5957031140793331,0,9,14,17,26,99,100
115,21,-0.19105878714257507,2,8,15,17,19,37,127
91,1368,-0.3553797581503153,4,7,15,17,19,97,100
120,5,-0.8405590844109084,1,8,15,17,19,90,100
282,500,-1.5,4,10,14,17,26,97,265
174,285,-1.5,6,9,14,17,26,99,100
170,742,-0.8754057616673229,1,13,15,17,25,58,184
190,325,-0.5473780613612196,0,8,15,17,19,97,100
167,2090,-1.5,4,10,14,17,26,97,256
59,390,0.21657344640308396,1,9,14,16,25,59,100
163,1099,-1.5,2,11,15,17,21,78,233
168,40,-0.9392944335641297,1,11,15,17,19,96,100
373,749,-0.23276539221432513,5,9,14,17,25,30,100
31,3,-1.0636862623808583,4,9,14,16,19,90,151
324,25,-1.5,1,11,15,17,26,79,237
216,362,-1.5,3,11,15,17,25,69,213
59,21,-0.9392944335641297,1,10,14,16,22,59,100
97,25,-0.18769995687707253,1,13,15,17,21,78,233
343,2274,-0.5573186796819779,6,7,14,17,25,96,100
124,16,-1.3312108057670398,3,7,15,17,19,97,100
98,33,-1.0636862623808583,5,9,14,17,19,78,233
343,126,-0.6207005640213072,1,8,15,17,22,96,100
73,16,-1.2324754566138185,0,9,14,18,24,36,123
310,25,-1.5,0,7,15,18,22,47,161
498,752,-1.5,4,12,15,17,25,97,100
34,29,-1.5,2,10,14,17,26,96,100
16,28,-1.1624216115340797,3,11,15,16,19,36,122
86,17,-0.5473780613612196,1,11,15,17,25,97,259
96,17,-0.1747096059799662,4,7,15,18,19,36,124
3,1021,-0.9936324173011195,2,9,14,17,19,97,282
114,177,-1.2324754566138185,3,12,15,17,25,30,108
42,3,-0.46198913896233695,1,8,15,17,19,90,151
248,30,-1.5,1,10,14,17,26,99,100
10,21,-1.1624216115340797,5,12,15,17,25,90,153
506,143,-1.5,4,9,14,17,19,96,100
302,2505,-1.5,1,9,14,17,19,90,151
28,695,-0.9160853245861855,6,8,15,16,19,88,100
88,928,-1.0261488247799624,3,8,15,16,22,36,125
76,25,-0.964950913227637,1,10,14,16,22,97,100
330,58,-1.0636862623808583,6,13,15,17,26,97,271
