business_id,stars,review_count,att1
41552,3,5,764
19173,1,7,731
41288,1,5,122
42163,4,5,802
25496,3,5,246
1383,1,6,337
19188,1,6,819
23126,1,6,483
44689,1,7,767
8517,4,6,731
46842,1,6,731
22545,1,7,194
46408,3,5,662
35834,0,7,868
39660,3,6,662
31261,3,7,280
18487,1,5,562
40669,3,7,731
40670,3,6,195
33011,0,7,195
47358,3,7,907
11809,4,5,594
46239,3,6,803
36400,0,5,343
31099,1,7,30
43538,1,7,128
7098,1,6,337
43960,3,7,731
15693,1,6,337
28825,1,6,578
18559,1,5,470
42973,1,6,444
473,1,7,415
48501,0,7,314
39030,3,7,937
24702,1,6,731
48758,1,6,731
45837,1,6,77
4635,4,7,373
39868,3,7,373
23255,1,5,335
26534,4,5,744
37913,1,5,75
49209,4,5,391
21308,3,7,533
11239,3,7,578
3441,3,6,731
8376,3,7,77
39266,3,7,230
28598,1,7,64
12789,4,7,610
1621,3,7,337
24073,1,6,511
27314,1,7,750
25286,0,5,767
31241,3,7,541
46629,1,7,526
28145,1,6,578
13963,2,7,128
10640,3,7,731
40982,4,5,653
22476,1,7,85
12275,0,7,918
5100,0,5,414
50009,3,5,11
12026,1,7,397
37071,1,7,264
20718,3,6,897
5082,4,7,662
9871,4,7,767
3661,1,7,77
20395,2,5,128
43933,3,7,731
2992,1,6,337
15977,1,6,731
20117,4,7,437
45390,1,7,519
12185,1,6,809
25767,1,6,77
28596,1,7,803
32154,1,6,731
6807,1,7,373
24597,3,7,514
27626,1,7,256
6317,1,7,797
41649,3,7,85
12835,3,6,662
26489,1,7,460
44082,4,7,731
38698,3,5,273
49490,1,6,731
25060,3,6,11
28869,3,5,462
41805,1,5,337
46183,1,7,690
52291,4,7,420
38953,1,5,183
45370,3,7,767
30527,1,7,229
6291,3,6,598
10971,1,7,519
21891,1,6,462
114,1,7,578
6034,3,6,303
34326,1,5,744
31232,0,7,765
47319,1,7,851
51920,1,6,731
1894,1,7,731
1041,1,7,731
35175,1,6,731
14576,0,7,513
46226,1,7,526
50140,3,6,578
2053,1,6,462
41075,4,7,857
28447,1,7,731
1061,1,7,731
32135,1,6,662
31235,2,7,731
21092,1,5,767
17124,3,5,337
33583,1,6,731
13388,0,7,420
1322,1,7,114
4033,3,7,767
42997,1,6,29
38522,1,6,731
12555,4,7,662
15423,4,7,11
30248,4,5,75
42360,3,5,397
4902,1,7,541
11426,3,7,651
34470,4,6,77
2762,0,5,767
40025,1,7,751
38132,1,7,662
7250,1,6,303
30565,0,5,578
37756,3,7,30
10755,1,7,109
50047,1,6,767
11607,1,7,731
47772,1,7,75
16678,1,7,195
8801,1,5,66
43247,1,7,127
1303,4,7,431
26604,1,6,128
37464,1,7,495
14180,1,5,474
35241,1,7,85
44505,1,5,85
49388,1,7,385
45596,3,7,66
23520,2,7,462
14549,3,5,903
18961,1,7,767
22471,3,7,337
19889,1,7,422
8886,2,7,337
43534,1,7,731
5390,1,5,34
42283,1,6,446
24625,1,7,303
40046,1,7,798
47747,1,7,85
50601,3,7,156
5331,0,5,385
26205,1,7,70
33658,1,6,77
2957,1,5,85
28028,3,7,731
32323,1,7,87
8204,1,5,275
24221,1,6,140
31440,0,7,343
32306,3,6,337
48942,4,5,195
4177,3,5,70
37514,1,7,52
24366,1,6,446
2394,1,7,85
26948,1,6,615
50980,1,6,731
878,1,7,373
44877,1,7,513
2847,0,7,85
652,3,7,541
6272,3,7,195
32755,4,6,314
40407,1,7,77
23817,1,6,578
50614,4,7,177
50295,2,5,35
34822,1,7,578
9515,3,5,35
16031,1,6,483
24081,0,5,861
7482,0,7,718
33996,3,6,77
47418,1,5,568
1508,4,7,731
33233,3,7,119
24678,1,6,30
20852,4,5,514
14858,3,6,249
38906,1,7,731
23774,1,7,77
49387,1,5,715
30321,4,5,900
31646,3,5,67
39466,1,7,731
42514,1,7,931
5768,3,5,773
18123,1,5,444
39538,2,7,731
47630,1,6,541
7666,1,6,473
949,1,7,413
33271,3,7,373
45151,1,6,462
49548,1,7,385
44769,1,6,625
52102,3,7,30
12507,1,7,337
15486,3,7,358
638,1,6,195
39136,3,7,77
46056,0,5,420
5449,4,7,152
7141,1,7,384
15372,1,7,243
25671,3,6,77
31301,4,5,731
44264,1,5,578
22013,3,7,87
14134,1,6,385
13357,4,7,52
36928,3,7,731
17099,4,5,444
25600,1,5,620
46395,1,6,119
1806,1,6,731
48428,4,7,337
35610,3,7,767
12588,1,7,514
17900,1,7,315
37934,1,5,766
1442,1,7,514
48144,3,7,568
